_,Id,Name,hed__Course__c,hed__Term__c,hed__Capacity__c,hed__End_Date__c,hed__Facility__c,hed__Faculty__c,hed__Section_ID__c,hed__Start_Date__c,Action_Required__c,Administrative_Support__c,Available_Seats__c,Checkout_Cart_Items_Count__c,Content_Challenged_Thinking__c,Course_Code__c,Delivery_Type__c,Develop_Topic_Insights__c,Effective_Learning_Activities__c,Evaluation_Summary__c,Evaluation_Type__c,External_Key__c,Facilitator_Knowledge__c,Facilities_Catering__c,IsActive__c,LMS_Integration_Status__c,LMS_Quality__c,Minimum_Participants__c,On_Hold_Seat__c,Overall_Experience__c,Peer_Engagement__c,Primary_Delivery_Platform__c,Primary_Facilitator__c,Program_Offering__c,Real_World_Learning_Opportunities__c,Registration_End_Date__c,Registration_Start_Date__c,Total_Number_of_Registered_Learners__c,Virtual_Platform_Quality__c,Visible_on_Website__c,Delivery_Mode__c,Migration_Id__c,LMS_Creation_Date__c
[hed__Course_Offering__c],a0B8q000000Ce7LEAS,EXOS0037-20221130-1,a0C8q0000005MuyEAE,a0POm000001KkqYMAS,35,2022-11-30,a0FOm000000WABDMA4,,,2022-11-30,,,13,3,,EXOS0037,Brisbane Classroom,,,,,,,,FALSE,,,8,,,,No LMS,a098q0000007pP8AAI,,,2022-11-28,2022-06-01,22,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce7MEAS,EXOS0038-20221017-1,a0C8q0000005MuzEAE,a0POm000001KkqZMAS,200,2022-11-27,a0FOm000000WABEMA4,,,2022-11-27,,,188,3,,EXOS0038,Online Self-paced,,,,,,,,FALSE,Success,,1,,,,QUT Canvas,a098q0000007pP8AAI,,,2022-10-12,2022-05-03,12,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce7NEAS,EXOS0039-20220606-1,a0C8q0000005Mv0EAE,a0POm000001KkqaMAC,20,2022-08-15,a0FOm000000WABFMA4,,,2022-08-15,,,20,,,EXOS0039,Online Classroom,,,,,,,,FALSE,,,2,,,,No LMS,a098q0000007pP8AAI,,,2022-05-24,2022-05-01,0,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce7OEAS,EXOS0039-20220607-1,a0C8q0000005Mv1EAE,a0POm000001KkqbMAC,20,2022-08-16,a0FOm000000WABGMA4,,,2022-08-16,,,20,,,EXOS0039,Brisbane Classroom,,,,,,,,FALSE,,,2,,,,No LMS,a098q0000007pP8AAI,,,2022-05-24,2022-05-01,0,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce7PEAS,EXOS0040-20220609-1,a0C8q0000005Mv2EAE,a0POm000001KkqcMAC,20,2022-08-18,a0FOm000000WABHMA4,,,2022-08-18,,,20,,,EXOS0040,Brisbane Classroom,,,,,,,,FALSE,,,2,,,,No LMS,a098q0000007pP8AAI,,,2022-05-24,2022-05-01,0,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce7QEAS,EXOS0040-20220609-2,a0C8q0000005Mv3EAE,a0POm000001KkqdMAC,20,2022-08-18,a0FOm000000WABIMA4,,,2022-08-18,,,20,,,EXOS0040,Online Classroom,,,,,,,,FALSE,,,2,,,,No LMS,a098q0000007pP8AAI,,,2022-05-24,2022-05-01,0,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce7REAS,EXOS0041-20220608-1,a0C8q0000005Mv4EAE,a0POm000001KkqeMAC,20,2022-08-24,a0FOm000000WABJMA4,,,2022-08-24,,,20,,,EXOS0041,Brisbane Classroom,,,,,,,,FALSE,,,2,,,,No LMS,a098q0000007pP8AAI,,,2022-05-24,2022-05-01,0,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce7SEAS,EXOS0041-20220608-2,a0C8q0000005Mv5EAE,a0POm000001KkqfMAC,20,2022-08-24,a0FOm000000WABKMA4,,,2022-08-24,,,20,,,EXOS0041,Online Classroom,,,,,,,,FALSE,,,2,,,,No LMS,a098q0000007pP8AAI,,,2022-05-24,2022-05-01,0,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce7TEAS,EXOS0042-20220606-1,a0C8q0000005Mv6EAE,a0POm000001KkqgMAC,20,2022-08-15,a0FOm000000WABGMA4,,,2022-08-15,,,20,,,EXOS0042,Brisbane Classroom,,,,,,,,FALSE,,,2,,,,No LMS,a098q0000007pP8AAI,,,2022-05-24,2022-05-01,0,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce7UEAS,EXOS0042-20220606-2,a0C8q0000005Mv7EAE,a0POm000001KkqhMAC,20,2022-08-15,,,,2022-08-15,,,20,,,EXOS0042,Online Classroom,,,,,,,,FALSE,,,2,,,,No LMS,a098q0000007pP8AAI,,,2022-05-24,2022-05-01,0,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce7VEAS,EXOS0043-20220608-1,a0C8q0000005Mv8EAE,a0POm000001KkqiMAC,20,2022-08-24,a0FOm000000WABGMA4,,,2022-08-24,,,20,,,EXOS0043,Brisbane Classroom,,,,,,,,FALSE,,,2,,,,No LMS,a098q0000007pP8AAI,,,2022-05-24,2022-05-01,0,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce7WEAS,EXOS0043-20220608-2,a0C8q0000005Mv9EAE,a0POm000001KkqjMAC,20,2022-08-24,,,,2022-08-24,,,20,,,EXOS0043,Online Classroom,,,,,,,,FALSE,,,2,,,,No LMS,a098q0000007pP8AAI,,,2022-05-24,2022-05-01,0,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce7XEAS,EXOS0044-20220606-1,a0C8q0000005MvAEAU,a0POm000001KkqkMAC,20,2022-08-15,a0FOm000000WABGMA4,,,2022-08-15,,,20,,,EXOS0044,Brisbane Classroom,,,,,,,,FALSE,,,2,,,,No LMS,a098q0000007pP8AAI,,,2022-05-24,2022-05-01,0,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce7YEAS,EXOS0044-20220607-1,a0C8q0000005MvBEAU,a0POm000001KkqlMAC,20,2022-08-16,,,,2022-08-16,,,20,,,EXOS0044,Online Classroom,,,,,,,,FALSE,,,2,,,,No LMS,a098q0000007pP8AAI,,,2022-05-24,2022-05-01,0,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce7ZEAS,EXOS0045-20220609-1,a0C8q0000005MvCEAU,a0POm000001KkqmMAC,20,2022-08-18,a0FOm000000WABGMA4,,,2022-08-18,,,20,,,EXOS0045,Brisbane Classroom,,,,,,,,FALSE,,,2,,,,No LMS,a098q0000007pP8AAI,,,2022-05-24,2022-05-01,0,,FALSE,,,
[hed__Course_Offering__c],a0B8q000000Ce7aEAC,EXOS0045-20220609-2,a0C8q0000005MvDEAU,a0POm000001KkqnMAC,20,2022-08-18,,,,2022-08-18,,,20,,,EXOS0045,Online Classroom,,,,,,,,FALSE,,,2,,,,No LMS,a098q0000007pP8AAI,,,2022-05-24,2022-05-01,0,,FALSE,,,
