Action_Required__c,Administrative_Support__c,Checkout_Cart_Items_Count__c,Content_Challenged_Thinking__c,Delivery_Mode__c,Delivery_Type__c,Develop_Topic_Insights__c,Effective_Learning_Activities__c,Errors,Evaluation_Summary__c,Evaluation_Type__c,External_Key__c,Facilitator_Knowledge__c,Facilities_Catering__c,hed__Capacity__c,hed__Course__c,hed__End_Date__c,hed__Facility__c,hed__Faculty__c,hed__Section_ID__c,hed__Start_Date__c,hed__Term__c,IsActive__c,LMS_Creation_Date__c,LMS_Integration_Status__c,LMS_Quality__c,Migration_Id__c,Minimum_Participants__c,Name,On_Hold_Seat__c,Overall_Experience__c,Peer_Engagement__c,Primary_Facilitator__c,Program_Offering__c,Real_World_Learning_Opportunities__c,Registration_End_Date__c,Registration_Start_Date__c,Total_Number_of_Registered_Learners__c,Virtual_Platform_Quality__c,Visible_on_Website__c
,,,,,Online Classroom,,,Required fields are missing: [hed__Course__c],,,,,,20,,2022-08-18,,,,2022-06-09,a0PAD0000050Kp12AE,false,,,,,2,EXOS0045-20220609-2,,,,a09AD000004DVq5YAG,,,2022-05-24,2022-05-01,0,,false
,,,,,Brisbane Classroom,,,Required fields are missing: [hed__Course__c],,,,,,20,,2022-08-16,a0FAD000001RWUr2AO,,,2022-06-07,a0PAD0000050Kp22AE,false,,,,,2,EXOS0046-20220607-1,,,,a09AD000004DVq5YAG,,,2022-05-24,2022-05-01,0,,false
,,,,,Online Classroom,,,Required fields are missing: [hed__Course__c],,,,,,20,,2022-08-16,,,,2022-06-07,a0PAD0000050Kp32AE,false,,,,,2,EXOS0046-20220607-2,,,,a09AD000004DVq5YAG,,,2022-05-24,2022-05-01,0,,false
,,1,,,Brisbane Classroom,,,Required fields are missing: [hed__Course__c],,,,,,35,,2022-08-23,a0FAD000001RWUr2AO,,,2022-08-23,a0PAD000004zxB92AI,false,,,,,8,EXOS0047-20220823-1,,,,a09AD000004DVq5YAG,,,2022-08-21,2022-05-01,11,,false
,,0,,,Online Self-paced,,,Required fields are missing: [hed__Course__c],,,,,,200,,2022-08-29,,,,2022-07-18,a0PAD0000050Kp42AE,false,,Success,,,1,EXOS0048-20220718-1,,,,a09AD000004DVq5YAG,,,2022-07-15,2022-04-26,95,,false
,,91,,,Online Self-paced,,,Required fields are missing: [hed__Course__c],,,,,,1000,,2023-12-31,,,,2022-10-10,a0PAD000004zxBA2AY,false,,Success,,,1,EXOS0048-20221010-1,,,,a09AD000004DVq5YAG,,,2022-10-03,2022-06-12,123,,false
,,,,,Brisbane Classroom,,,Required fields are missing: [hed__Course__c],,,,,,35,,2022-06-23,a0FAD000001RWUr2AO,,,2022-05-12,a0PAD000004zxBB2AY,false,,,,,10,EXOS0049-20220512-1,,,,a09AD000004DVq5YAG,,,2022-05-10,2022-03-01,24,,false
,,6,,,Brisbane Classroom,,,Required fields are missing: [hed__Course__c],,,,,,40,,2022-11-09,a0FAD000001RWUr2AO,,,2022-09-14,a0PAD000004zxBC2AY,false,,,,,10,EXOS0049-20220914-1,,,,a09AD000004DVq5YAG,,,2022-09-11,2022-04-26,30,,false
,,,,,Online Classroom,,,Required fields are missing: [hed__Course__c],,,,,,25,,2022-06-15,,,,2022-06-06,a0PAD000004zxBD2AY,false,,,,,10,EXOS0050-20220606-1,,,,a09AD000004DVq5YAG,,,2022-05-30,2022-05-01,0,,false
,,0,,,Online Classroom,,,Required fields are missing: [hed__Course__c],,,,,,25,,2022-11-30,,,,2022-11-21,a0PAD0000050Kp52AE,false,,,,,10,EXOS0050-20221121-1,,,,a09AD000004DVq5YAG,,,2022-11-13,2022-05-01,0,,false
,,5,,,Brisbane Classroom,,,Required fields are missing: [hed__Course__c],,,,,,35,,2022-07-22,a0FAD000001RWUr2AO,,,2022-07-22,a0PAD0000050Kp62AE,false,,,,,8,EXOS0051-20220722-1,,,,a09AD000004DVq5YAG,,,2022-07-20,2022-05-01,26,,false
,,5,,,Brisbane Classroom,,,Required fields are missing: [hed__Course__c],,,,,,35,,2022-11-18,a0FAD000001RWUr2AO,,,2022-11-18,a0PAD0000050Kp72AE,false,,,,,10,EXOS0051-20221118-1,,,,a09AD000004DVq5YAG,,,2022-11-16,2022-07-20,12,,false
,,0,,,Online Classroom,,,Required fields are missing: [hed__Course__c],,,,,,35,,2022-09-21,,,,2022-09-20,a0PAD0000050Kp82AE,false,,,,,8,EXOS0052-20220920-1,,,,a09AD000004DVq5YAG,,,2022-09-19,2022-05-01,0,,false
,,,,,Online Self-paced,,,Required fields are missing: [hed__Course__c],,,,,,200,,2022-06-12,,,,2022-05-16,a0PAD0000050Kp92AE,false,,Success,,,1,EXOS0053-20220516-1,,,,a09AD000004DVq5YAG,,,2022-05-09,2022-05-01,12,,false
,,1,,,Online Self-paced,,,Required fields are missing: [hed__Course__c],,,,,,200,,2022-08-21,,,,2022-07-25,a0PAD0000050KpA2AU,false,,Success,,,1,EXOS0054-20220725-1,,,,a09AD000004DVq5YAG,,,2022-07-10,2022-05-01,0,,false
,,,,,Online Self-paced,,,Required fields are missing: [hed__Course__c],,,,,,200,,2022-06-12,,,,2022-05-16,a0PAD000004zxBE2AY,false,,Success,,,1,EXOS0055-20220516-1,,,,a09AD000004DVq5YAG,,,2022-05-13,2022-05-01,30,,false
,,3,,,Online Self-paced,,,Required fields are missing: [hed__Course__c],,,,,,200,,2022-08-21,,,,2022-07-25,a0PAD000004zxBF2AY,false,,Success,,,1,EXOS0055-20220725-1,,,,a09AD000004DVq5YAG,,,2022-07-20,2022-05-10,14,,false
,,,,,Brisbane Classroom,,,Required fields are missing: [hed__Course__c],,,,,,35,,2022-06-01,a0FAD000001RWUr2AO,,,2022-06-01,a0PAD000004zxBG2AY,false,,,,,10,EXOS0056-20220622-1,,,,a09AD000004DVq5YAG,,,2022-05-31,2022-05-01,0,,false
,,,,,Brisbane Classroom,,,Required fields are missing: [hed__Course__c],,,,,,35,,2022-05-24,a0FAD000001RWUr2AO,,,2022-05-24,a0PAD000004zxBH2AY,false,,,,,8,EXOS0057-20220524-1,,,,a09AD000004DVq5YAG,,,2022-05-20,2022-05-01,8,,false
,,5,,,Brisbane Classroom,,,Required fields are missing: [hed__Course__c],,,,,,35,,2022-10-19,a0FAD000001RWUr2AO,,,2022-10-19,a0PAD000004zxBI2AY,false,,,,,8,EXOS0057-20221019-1,,,,a09AD000004DVq5YAG,,,2022-10-15,2022-05-21,23,,false
,,,,,Brisbane Classroom,,,Required fields are missing: [hed__Course__c],,,,,,35,,2022-05-25,a0FAD000001RWUr2AO,,,2022-05-25,a0PAD000004zxBJ2AY,false,,,,,8,EXOS0058-20220525-1,,,,a09AD000004DVq5YAG,,,2022-05-23,2022-05-01,0,,false
,,,,,Brisbane Classroom,,,Required fields are missing: [hed__Course__c],,,,,,35,,2022-06-24,a0FAD000001RWUr2AO,,,2022-06-10,a0PAD000004zxBK2AY,false,,,,,10,EXOS0059-20220610-1,,,,a09AD000004DVq5YAG,,,2022-06-08,2022-05-01,0,,false
